file,primary_category,secondary_category
file_recovery_master.py,기타,기타-미분류
fix_docstring_quotes.py,기타,기타-미분류
fix_duplicate_orders.py,기타,기타-미분류
fixes/concurrency_fix_master_hybrid.py,기타,기타-미분류
fixes/memory_leak_fix.py,브레인/학습,기타-미분류
game_earning_analysis.py,기타,시뮬레이션
hybrid/__init__.py,기타,기타-미분류
hybrid/base.py,기타,기타-미분류
hybrid_conversation_translator.py,기타,대화
hybrid_cyber_security_system.py,보안/권한,인증보안
hybrid_internet_system.py,기타,기타-미분류
hybrid_interpreter_system.py,통역/언어,기타-미분류
hybrid_iot_controller.py,기타,IoT
hybrid_voice_processor.py,음악/오디오,음성
integrated_shopping_tutor_designer.py,기타,기타-미분류
intelligent_cache_system.py,기타,기타-미분류
intelligent_code_refactor.py,코드/개발,기타-미분류
launch_dashboard.py,대시보드/UI,기타-미분류
launch_integrated_system.py,기타,기타-미분류
mass_file_recovery.py,기타,기타-미분류
modules/__init__.py,기타,기타-미분류
modules/ai_code_manager/__init__.py,기타,기타-미분류
modules/ai_code_manager/ai_collaboration_network.py,기타,기타-미분류
modules/ai_code_manager/ai_music_composer.py,음악/오디오,기타-미분류
modules/ai_code_manager/ai_speech_tts.py,기타,음성
modules/ai_code_manager/analyzer.py,기타,기타-미분류
modules/ai_code_manager/auto_feature_expansion.py,기타,기타-미분류
modules/ai_code_manager/auto_refactor.py,기타,기타-미분류
modules/ai_code_manager/autonomous_marketing_system.py,기타,마켓
modules/ai_code_manager/autonomous_shopping_mall.py,기타,기타-미분류
modules/ai_code_manager/code_reviewer.py,코드/개발,기타-미분류
modules/ai_code_manager/context_manager.py,기타,기타-미분류
modules/ai_code_manager/creative_coding_assistant.py,코드/개발,기타-미분류
modules/ai_code_manager/creative_sorisae_engine.py,기타,기타-미분류
modules/ai_code_manager/dream_interpreter.py,통역/언어,기타-미분류
modules/ai_code_manager/emotion_color_therapist.py,API/서버,기타-미분류
modules/ai_code_manager/future_prediction_engine.py,기타,기타-미분류
modules/ai_code_manager/git_sync.py,기타,기타-미분류
modules/ai_code_manager/memory_palace.py,브레인/학습,기타-미분류
modules/ai_code_manager/multi_agent_shopping_system.py,오케스트레이션/에이전트,기타-미분류
modules/ai_code_manager/music_chat_system.py,음악/오디오,대화
modules/ai_code_manager/music_chat_web.py,음악/오디오,대화
modules/ai_code_manager/nlp_processor.py,기타,기타-미분류
modules/ai_code_manager/persona_system.py,기타,기타-미분류
modules/ai_code_manager/personal_ai_tutor.py,기타,기타-미분류
modules/ai_code_manager/realtime_game_generator.py,기타,시뮬레이션
modules/ai_code_manager/self_learning_engine.py,브레인/학습,기타-미분류
modules/ai_code_manager/smart_plugin_generator.py,기타,기타-미분류
modules/ai_code_manager/sorisae_core_controller.py,기타,기타-미분류
modules/ai_code_manager/sorisae_iot_auto_discovery.py,기타,IoT
modules/ai_code_manager/sorisae_iot_integration.py,기타,IoT
modules/ai_code_manager/sorisae_iot_smarthome.py,기타,IoT
modules/ai_code_manager/sorisae_iot_voice_control.py,음악/오디오,음성
modules/ai_code_manager/sorisae_smart_car_control.py,기타,기타-미분류
modules/ai_code_manager/version_tracker.py,기타,기타-미분류
modules/ai_code_manager/virtual_dev_team.py,코드/개발,기타-미분류
modules/api_rate_limit_handler.py,API/서버,기타-미분류
modules/logging_config.py,기타,기타-미분류
modules/modules_sorisae/core.py,기타,기타-미분류
modules/plugins/__init__.py,기타,기타-미분류
modules/plugins/base_plugin.py,기타,기타-미분류
modules/plugins/devtools_plugin.py,코드/개발,기타-미분류
modules/plugins/filewizard_자동으로.py,기타,기타-미분류
modules/plugins/plugin_manager.py,기타,기타-미분류
modules/plugins/system_plugin.py,기타,기타-미분류
modules/safe_api_wrapper.py,API/서버,기타-미분류
modules/sorisae/__init__.py,기타,기타-미분류
modules/sorisae/core.py,기타,기타-미분류
modules/sorisae/golden_sorisae/__init__.py,기타,기타-미분류
modules/sorisae/golden_sorisae/consciousness_engine.py,기타,기타-미분류
modules/sorisae/golden_sorisae/divine_intelligence.py,기타,기타-미분류
modules/sorisae/golden_sorisae/ethical_ai.py,기타,기타-미분류
modules/sorisae/golden_sorisae/maximum_upgrade.py,기타,기타-미분류
modules/sorisae/golden_sorisae/transcendent_system.py,기타,기타-미분류
modules/sorisae/golden_sorisae/ultimate_integration.py,기타,기타-미분류
modules/sorisae_dashboard_web.py,대시보드/UI,기타-미분류
modules/voice_response_fallback.py,음악/오디오,음성
mountain_emergency_satellite.py,기타,기타-미분류
multi_ego_engine.py,기타,기타-미분류
multilingual_system.py,통역/언어,기타-미분류
music_chat_friend_system.py,음악/오디오,대화
new_features_demo.py,기타,기타-미분류
next_gen_caching_system.py,기타,기타-미분류
next_gen_features_102_percent.py,기타,기타-미분류
next_gen_optimization_system.py,기타,기타-미분류
organize_files.py,기타,기타-미분류
organize_projects_into_folders.py,기타,기타-미분류
practical_satellite_manager.py,기타,기타-미분류
project_review_verification.py,기타,기타-미분류
project_syntax_checker.py,검증/테스트,기타-미분류
projects_separated/animation-studio/run_animation_studio.py,기타,기타-미분류
projects_separated/animation-studio/src/animation_studio_demo.py,기타,기타-미분류
projects_separated/animation-studio/src/demo_animation_voice_integration.py,음악/오디오,음성
projects_separated/animation-studio/src/sorisae_animation_studio_ultra.py,기타,기타-미분류
projects_separated/animation-studio/src/test_animation_voice_integration.py,음악/오디오,음성
projects_separated/civil-bidding/run_civil_bidding.py,기타,기타-미분류
projects_separated/civil-bidding/src/civil_engineering_bidding_demo.py,기타,기타-미분류
projects_separated/civil-bidding/src/sorisae_civil_engineering_bidding.py,기타,기타-미분류
projects_separated/cyber-detective/run_cyber_detective.py,기타,기타-미분류
projects_separated/cyber-detective/src/cyber_detective_ai.py,기타,기타-미분류
projects_separated/cyber-detective/src/cyber_detective_dashboard.py,대시보드/UI,기타-미분류
projects_separated/cyber-detective/src/cyber_detective_detailed_analysis.py,기타,기타-미분류
projects_separated/cyber-detective/src/cyber_detective_future_tech.py,기타,기타-미분류
projects_separated/cyber-detective/src/cyber_detective_global_network.py,기타,기타-미분류
projects_separated/cyber-detective/src/cyber_detective_global_server_analysis.py,API/서버,기타-미분류
projects_separated/cyber-detective/src/cyber_detective_gps_radius.py,기타,기타-미분류
projects_separated/cyber-detective/src/cyber_detective_methodology.py,기타,기타-미분류
projects_separated/cyber-detective/src/cyber_detective_visual_monitoring.py,운영관측/헬스,기타-미분류
projects_separated/cyber-detective/src/cyber_investigation_report.py,기타,기타-미분류
projects_separated/cyber-detective/src/cyber_realtime_monitor.py,운영관측/헬스,기타-미분류
projects_separated/cyber-detective/src/sorisae_cyber_investigator.py,기타,기타-미분류
projects_separated/dev-tools/run_dev_tools.py,코드/개발,기타-미분류
projects_separated/dev-tools/src/ai_performance_optimizer.py,기타,기타-미분류
projects_separated/dev-tools/src/ai_performance_tuner.py,기타,기타-미분류
projects_separated/dev-tools/src/analyze_all_shinsegye_projects.py,기타,기타-미분류
projects_separated/dev-tools/src/analyze_architecture.py,기타,기타-미분류
projects_separated/dev-tools/src/async_performance_system.py,기타,기타-미분류
projects_separated/dev-tools/src/code_quality_improver.py,코드/개발,기타-미분류
projects_separated/dev-tools/src/code_quality_master.py,코드/개발,기타-미분류
projects_separated/dev-tools/src/comprehensive_file_analyzer.py,기타,기타-미분류
projects_separated/dev-tools/src/comprehensive_project_analyzer.py,기타,기타-미분류
projects_separated/dev-tools/src/creative_workflow_engine.py,오케스트레이션/에이전트,기타-미분류
projects_separated/dev-tools/src/detailed_technical_report.py,기타,기타-미분류
projects_separated/dev-tools/src/fix_docstring_quotes.py,기타,기타-미분류
projects_separated/dev-tools/src/fix_duplicate_orders.py,기타,기타-미분류
projects_separated/dev-tools/src/intelligent_cache_system.py,기타,기타-미분류
projects_separated/dev-tools/src/intelligent_code_refactor.py,코드/개발,기타-미분류
projects_separated/dev-tools/src/next_gen_caching_system.py,기타,기타-미분류
projects_separated/dev-tools/src/next_gen_optimization_system.py,기타,기타-미분류
projects_separated/dev-tools/src/project_review_verification.py,기타,기타-미분류
projects_separated/game-economy/run_game_economy.py,기타,시뮬레이션
projects_separated/game-economy/src/game_earning_analysis.py,기타,시뮬레이션
projects_separated/game-economy/src/sorisae_earning_game.py,기타,시뮬레이션
projects_separated/game-economy/src/sorisae_game_concept_design.py,기타,시뮬레이션
projects_separated/game-economy/src/sorisae_game_economy_system.py,기타,시뮬레이션
projects_separated/gps-police/run_gps_police.py,기타,기타-미분류
projects_separated/gps-police/src/current_police_system_status.py,운영관측/헬스,기타-미분류
projects_separated/gps-police/src/ethical_gps_system.py,기타,기타-미분류
projects_separated/gps-police/src/ethical_gps_system_simple.py,기타,기타-미분류
projects_separated/gps-police/src/regional_ai_police_coverage.py,기타,기타-미분류
projects_separated/gps-police/src/sorisae_gps_ethics_completion_report.py,기타,기타-미분류
projects_separated/interpreter/run_interpreter.py,통역/언어,기타-미분류
projects_separated/interpreter/src/hybrid_conversation_translator.py,기타,대화
projects_separated/interpreter/src/hybrid_interpreter_system.py,통역/언어,기타-미분류
projects_separated/interpreter/src/multilingual_system.py,통역/언어,기타-미분류
projects_separated/interpreter/src/sorisae_interpreter.py,통역/언어,기타-미분류
projects_separated/interpreter/src/sorisae_multilingual_support.py,통역/언어,기타-미분류
projects_separated/interpreter/src/sorisae_southeast_asia_translator.py,기타,기타-미분류
projects_separated/investment-advisor/run_investment_advisor.py,기타,기타-미분류
projects_separated/investment-advisor/src/sorisae_investment_advisor_200.py,기타,기타-미분류
projects_separated/investment-advisor/src/stock_prediction_200_percent.py,기타,기타-미분류
projects_separated/iot-smarthome/run_iot_smarthome.py,기타,IoT
projects_separated/iot-smarthome/src/hybrid_iot_controller.py,기타,IoT
projects_separated/iot-smarthome/src/sorisae_iot_integration.py,기타,IoT
projects_separated/iot-smarthome/src/sorisae_iot_smarthome.py,기타,IoT
projects_separated/iot-smarthome/src/sorisae_iot_voice_control.py,음악/오디오,음성
projects_separated/iot-smarthome/src/spatiotemporal_learning_system.py,브레인/학습,IoT
projects_separated/iot-smarthome/src/spatiotemporal_learning_system_new.py,브레인/학습,IoT
projects_separated/movie-studio/run_movie_studio.py,기타,기타-미분류
projects_separated/movie-studio/src/sorisae_4d_movie_demo.py,기타,기타-미분류
projects_separated/movie-studio/src/sorisae_movie_installer.py,기타,기타-미분류
projects_separated/movie-studio/src/sorisae_movie_web_server.py,대시보드/UI,기타-미분류
projects_separated/movie-studio/src/sorisae_voice_movie_server.py,음악/오디오,음성
projects_separated/music-composer/run_music_composer.py,음악/오디오,기타-미분류
projects_separated/music-composer/src/animation_studio_theme_song_demo.py,기타,기타-미분류
projects_separated/music-composer/src/emotion_based_music_generator.py,음악/오디오,기타-미분류
projects_separated/music-composer/src/music_chat_friend_system.py,음악/오디오,대화
projects_separated/music-composer/src/start_music_chat_server.py,음악/오디오,대화
projects_separated/satellite/run_satellite.py,기타,기타-미분류
projects_separated/satellite/src/mountain_emergency_satellite.py,기타,기타-미분류
projects_separated/satellite/src/practical_satellite_manager.py,기타,기타-미분류
projects_separated/satellite/src/sorisae_satellite_demo.py,기타,기타-미분류
projects_separated/satellite/src/sorisae_satellite_wifi_system.py,기타,기타-미분류
projects_separated/security/run_security.py,보안/권한,인증보안
projects_separated/security/src/advanced_security_system.py,보안/권한,인증보안
projects_separated/security/src/biometric_security_system.py,보안/권한,인증보안
projects_separated/security/src/hybrid_cyber_security_system.py,보안/권한,인증보안
projects_separated/security/src/security_demo.py,보안/권한,인증보안
projects_separated/security/src/security_key_manager.py,보안/권한,인증보안
projects_separated/shopping-mall/run_shopping_mall.py,기타,기타-미분류
projects_separated/shopping-mall/src/autonomous_shopping_demo.py,기타,기타-미분류
projects_separated/shopping-mall/src/integrated_shopping_tutor_designer.py,기타,기타-미분류
projects_separated/shopping-mall/src/shopping_mall_dashboard.py,대시보드/UI,기타-미분류
projects_separated/sorisae-core/run_sorisae_core.py,기타,기타-미분류
projects_separated/sorisae-core/src/launch_dashboard.py,대시보드/UI,기타-미분류
projects_separated/sorisae-core/src/launch_integrated_system.py,기타,기타-미분류
projects_separated/sorisae-core/src/run_all_shinsegye.py,기타,기타-미분류
projects_separated/sorisae-core/src/run_complete_sorisae_system.py,기타,기타-미분류
projects_separated/sorisae-core/src/run_hybrid_system.py,기타,기타-미분류
projects_separated/sorisae-core/src/sorisae_ai_decision_engine.py,기타,기타-미분류
projects_separated/sorisae-core/src/sorisae_dashboard_web.py,대시보드/UI,기타-미분류
projects_separated/sorisae-core/src/sorisae_divine_intelligence_105.py,기타,기타-미분류
projects_separated/sorisae-core/src/sorisae_dual_brain_comparison.py,브레인/학습,기타-미분류
projects_separated/sorisae-core/src/sorisae_dual_brain_stock_system.py,브레인/학습,기타-미분류
projects_separated/sorisae-core/src/sorisae_enhanced_consciousness.py,기타,기타-미분류
projects_separated/sorisae-core/src/sorisae_enhanced_features.py,기타,기타-미분류
projects_separated/sorisae-core/src/sorisae_ethical_consciousness_engine.py,기타,기타-미분류
projects_separated/sorisae-core/src/sorisae_ethical_consciousness_simple.py,기타,기타-미분류
projects_separated/sorisae-core/src/sorisae_integrated_dashboard.py,대시보드/UI,기타-미분류
projects_separated/sorisae-core/src/sorisae_integrated_hybrid_system.py,기타,기타-미분류
projects_separated/sorisae-core/src/sorisae_master_hybrid_system.py,기타,기타-미분류
projects_separated/sorisae-core/src/sorisae_master_system.py,기타,기타-미분류
projects_separated/sorisae-core/src/sorisae_maximum_upgrade_system.py,기타,기타-미분류
projects_separated/sorisae-core/src/sorisae_multi_ego_core.py,기타,기타-미분류
projects_separated/sorisae-core/src/sorisae_nextgen_features.py,기타,기타-미분류
projects_separated/sorisae-core/src/sorisae_temporal_integration.py,기타,기타-미분류
projects_separated/sorisae-core/src/sorisae_transcendent_102.py,기타,기타-미분류
projects_separated/sorisae-core/src/sorisae_ultimate_integrated_system.py,기타,기타-미분류
projects_separated/sorisae-core/src/sorisae_unified_launcher.py,기타,기타-미분류
projects_separated/testing/run_testing.py,검증/테스트,기타-미분류
projects_separated/testing/src/advanced_syntax_fixer.py,기타,기타-미분류
projects_separated/testing/src/auto_syntax_validator.py,기타,기타-미분류
projects_separated/testing/src/check_missing_programs.py,코드/개발,기타-미분류
projects_separated/testing/src/commissioning_test.py,검증/테스트,기타-미분류
projects_separated/testing/src/completion_checker.py,검증/테스트,기타-미분류
projects_separated/testing/src/project_syntax_checker.py,검증/테스트,기타-미분류
projects_separated/testing/src/quick_validate.py,대시보드/UI,기타-미분류
projects_separated/testing/src/run_full_system_test.py,검증/테스트,기타-미분류
projects_separated/testing/src/syno_check.py,검증/테스트,기타-미분류
projects_separated/testing/src/syntax_checker.py,검증/테스트,기타-미분류
projects_separated/testing/src/syntax_error_fixer.py,기타,기타-미분류
projects_separated/testing/src/test_web_apps.py,대시보드/UI,기타-미분류
projects_separated/testing/src/validate_data.py,데이터/저장소,기타-미분류
projects_separated/testing/src/validate_python_files.py,검증/테스트,기타-미분류
projects_separated/testing/src/verify_install.py,검증/테스트,기타-미분류
projects_separated/testing/src/verify_sorisae_features.py,검증/테스트,기타-미분류
projects_separated/voice-processing/run_voice_processing.py,음악/오디오,음성
projects_separated/voice-processing/src/enhanced_voice_exit.py,음악/오디오,음성
projects_separated/voice-processing/src/hybrid_voice_processor.py,음악/오디오,음성
projects_separated/voice-processing/src/sorisae_voice_processor.py,음악/오디오,음성
projects_separated/voice-processing/src/sorisae_voice_reactive.py,음악/오디오,음성
projects_separated/voice-processing/src/voice_calling_system.py,음악/오디오,음성
projects_separated/voice-processing/src/voice_command_processor.py,음악/오디오,음성
projects_separated/voice-processing/src/voice_tuner.py,음악/오디오,음성
projects_separated/vr-games/run_vr_games.py,기타,시뮬레이션
projects_separated/vr-games/src/sorisae_fantasy_vr_infinite_universe_game.py,기타,시뮬레이션
projects_separated/vr-games/src/sorisae_vr_launcher.py,기타,기타-미분류
projects_separated/vr-games/src/trend_idea_generator.py,기타,기타-미분류
quick_cleanup.py,대시보드/UI,기타-미분류
quick_validate.py,대시보드/UI,기타-미분류
recover_damaged_files.py,기타,기타-미분류
regional_ai_police_coverage.py,기타,기타-미분류
run_all_shinsegye.py,기타,기타-미분류
run_complete_sorisae_system.py,기타,기타-미분류
run_full_system_test.py,검증/테스트,기타-미분류
run_hybrid_system.py,기타,기타-미분류
security_demo.py,보안/권한,인증보안
security_key_manager.py,보안/권한,인증보안
setup.py,기타,기타-미분류
shopping_mall_dashboard.py,대시보드/UI,기타-미분류
show_access_keys.py,기타,기타-미분류
simple_dashboard.py,대시보드/UI,기타-미분류
sorisae_4d_movie_demo.py,기타,기타-미분류
sorisae_ai_decision_engine.py,기타,기타-미분류
sorisae_animation_studio_ultra.py,기타,기타-미분류
sorisae_civil_engineering_bidding.py,기타,기타-미분류
sorisae_creative_revenue_detail.py,기타,기타-미분류
sorisae_cyber_investigator.py,기타,기타-미분류
sorisae_dashboard_web.py,대시보드/UI,기타-미분류
sorisae_divine_intelligence_105.py,기타,기타-미분류
sorisae_dual_brain_comparison.py,브레인/학습,기타-미분류
sorisae_dual_brain_stock_system.py,브레인/학습,기타-미분류
sorisae_earning_game.py,기타,시뮬레이션
sorisae_enhanced_consciousness.py,기타,기타-미분류
sorisae_enhanced_features.py,기타,기타-미분류
sorisae_ethical_consciousness_engine.py,기타,기타-미분류
sorisae_ethical_consciousness_simple.py,기타,기타-미분류
sorisae_fantasy_vr_infinite_universe_game.py,기타,시뮬레이션
sorisae_final_26countries_report.py,기타,기타-미분류
sorisae_final_achievement_report.py,기타,기타-미분류
sorisae_game_concept_design.py,기타,시뮬레이션
sorisae_game_economy_system.py,기타,시뮬레이션
sorisae_global_ethics_expansion_report.py,기타,기타-미분류
sorisae_gps_ethics_completion_report.py,기타,기타-미분류
sorisae_integrated_dashboard.py,대시보드/UI,기타-미분류
sorisae_integrated_hybrid_system.py,기타,기타-미분류
sorisae_interpreter.py,통역/언어,기타-미분류
sorisae_investment_advisor_200.py,기타,기타-미분류
sorisae_iot_integration.py,기타,IoT
sorisae_iot_smarthome.py,기타,IoT
sorisae_iot_voice_control.py,음악/오디오,음성
sorisae_master_hybrid_system.py,기타,기타-미분류
sorisae_master_system.py,기타,기타-미분류
sorisae_maximum_upgrade_system.py,기타,기타-미분류
sorisae_movie_installer.py,기타,기타-미분류
sorisae_movie_web_server.py,대시보드/UI,기타-미분류
sorisae_multi_ego_core.py,기타,기타-미분류
sorisae_multilingual_support.py,통역/언어,기타-미분류
sorisae_nextgen_features.py,기타,기타-미분류
sorisae_satellite_demo.py,기타,기타-미분류
sorisae_satellite_wifi_system.py,기타,기타-미분류
sorisae_southeast_asia_translator.py,기타,기타-미분류
sorisae_temporal_integration.py,기타,기타-미분류
sorisae_transcendent_102.py,기타,기타-미분류
sorisae_ultimate_integrated_system.py,기타,기타-미분류
sorisae_unified_launcher.py,기타,기타-미분류
sorisae_voice_movie_server.py,음악/오디오,음성
sorisae_voice_processor.py,음악/오디오,음성
sorisae_voice_reactive.py,음악/오디오,음성
sorisae_vr_launcher.py,기타,기타-미분류
spatiotemporal_learning_system.py,브레인/학습,IoT
spatiotemporal_learning_system_new.py,브레인/학습,IoT
start_music_chat_server.py,음악/오디오,대화
stock_prediction_200_percent.py,기타,기타-미분류
structure_cleaner.py,기타,기타-미분류
syno_check.py,검증/테스트,기타-미분류
syntax_checker.py,검증/테스트,기타-미분류
syntax_error_fixer.py,기타,기타-미분류
system_cleanup.py,기타,기타-미분류
system_cleanup_duplicate_remover.py,기타,기타-미분류
system_cleanup_fixed.py,기타,기타-미분류
temp_files/sorisae_dual_brain_stock_system.py,브레인/학습,기타-미분류
temp_files/sorisae_investment_advisor_200.py,기타,기타-미분류
temp_files/stock_prediction_200_percent.py,기타,기타-미분류
test_animation_voice_integration.py,음악/오디오,음성
test_web_apps.py,대시보드/UI,기타-미분류
tests/final_system_test.py,검증/테스트,기타-미분류
tests/test_api_rate_limit_handling.py,API/서버,기타-미분류
tests/test_compatibility.py,검증/테스트,기타-미분류
tests/test_creative_sorisae.py,검증/테스트,기타-미분류
tests/test_dashboard_api.py,대시보드/UI,기타-미분류
tests/test_emotion_nlp.py,검증/테스트,기타-미분류
tests/test_error_handling.py,검증/테스트,기타-미분류
tests/test_file_check.py,검증/테스트,기타-미분류
tests/test_golden_sorisae.py,검증/테스트,기타-미분류
tests/test_import_paths.py,검증/테스트,기타-미분류
tests/test_improvements.py,검증/테스트,기타-미분류
tests/test_integration_voice_error_handling.py,음악/오디오,음성
tests/test_nlp.py,검증/테스트,기타-미분류
tests/test_project_execution.py,검증/테스트,기타-미분류
tests/test_socket_voice_fixes.py,음악/오디오,음성
tests/test_voice_double_utterance_fix.py,음악/오디오,음성
tests/test_voice_reactive.py,음악/오디오,음성
trend_idea_generator.py,기타,기타-미분류
validate_data.py,데이터/저장소,기타-미분류
validate_python_files.py,검증/테스트,기타-미분류
verify_install.py,검증/테스트,기타-미분류
verify_sorisae_features.py,검증/테스트,기타-미분류
voice_calling_system.py,음악/오디오,음성
voice_command_processor.py,음악/오디오,음성
voice_tuner.py,음악/오디오,음성
